"taxon_name","ISO3_Code","overlap"
"Aconitum napellus","SWE",FALSE
"Acorus calamus","CHE",FALSE
"Adenophora stricta","JPN",FALSE
"Aeschynomene indica","SGP",FALSE
"Agrostemma githago","SWE",FALSE
"Ajuga genevensis","SWE",FALSE
"Alopecurus myosuroides","SWE",FALSE
"Alternanthera philoxeroides","IND",FALSE
"Aniseia martinicensis","SGP",FALSE
"Anthemis arvensis","GBR",FALSE
"Apium graveolens","SWE",FALSE
"Arenaria leptoclados","SWE",FALSE
"Aristolochia clematitis","NOR",FALSE
"Aristolochia clematitis","SWE",FALSE
"Artemisia absinthium","IRL",FALSE
"Atriplex littoralis","USA",FALSE
"Bidens bipinnata","CHE",FALSE
"Bidens connata","CHE",FALSE
"Blitum bonus-henricus","IRL",FALSE
"Blitum bonus-henricus","SWE",FALSE
"Buchozia japonica","JPN",FALSE
"Buglossoides arvensis","GBR",FALSE
"Bunias orientalis","NLD",FALSE
"Calepina irregularis","NLD",FALSE
"Camelina sativa","SWE",FALSE
"Campanula rapunculus","GBR",FALSE
"Campanula rapunculus","SWE",FALSE
"Carex pendula","SWE",FALSE
"Carex vulpinoidea","CHE",FALSE
"Carum carvi","GBR",FALSE
"Centaurea calcitrapa","GBR",FALSE
"Centaurea cyanus","GBR",FALSE
"Centrolepis strigosa","NZL",FALSE
"Ceratopteris thalictroides","CUB",FALSE
"Chaerophyllum aureum","SWE",FALSE
"Chaerophyllum bulbosum","SWE",FALSE
"Chaerophyllum prescottii","SWE",FALSE
"Chenopodiastrum murale","GBR",FALSE
"Chenopodium vulvaria","SWE",FALSE
"Cichorium intybus","GBR",FALSE
"Clematis viticella","NLD",FALSE
"Crotalaria uncinella","JPN",FALSE
"Cryptostegia grandiflora","IND",FALSE
"Cupressus sempervirens","ALB",FALSE
"Cylindropuntia imbricata","CHE",FALSE
"Datura stramonium","CHE",FALSE
"Digitaria didactyla","SGP",FALSE
"Dinebra nealleyi","CUB",FALSE
"Distimake aegyptius","IND",FALSE
"Dracocephalum thymiflorum","SWE",FALSE
"Elodea canadensis","NLD",FALSE
"Erucastrum gallicum","SWE",FALSE
"Erythranthe guttata","CHE",FALSE
"Euthamia graminifolia","CHE",FALSE
"Fagopyrum tataricum","CHE",FALSE
"Fagopyrum tataricum","NLD",FALSE
"Falcaria vulgaris","NLD",FALSE
"Falcaria vulgaris","SWE",FALSE
"Filago pyramidata","GBR",FALSE
"Fumaria parviflora","GBR",FALSE
"Galeopsis angustifolia","SWE",FALSE
"Galeopsis speciosa","GBR",FALSE
"Galinsoga parviflora","IND",FALSE
"Galium pumilum","SWE",FALSE
"Galium rubioides","FRA",FALSE
"Galium tricornutum","GBR",FALSE
"Gaudinia fragilis","GBR",FALSE
"Geranium sibiricum","CHE",FALSE
"Glebionis segetum","GBR",FALSE
"Glyceria striata","CHE",FALSE
"Halerpestes cymbalaria","SWE",FALSE
"Hibiscus trionum","NZL",FALSE
"Hottonia palustris","IRL",FALSE
"Hyacinthus orientalis","CYP",FALSE
"Hydrilla verticillata","IRL",FALSE
"Hyssopus officinalis","NOR",FALSE
"Illecebrum verticillatum","SWE",FALSE
"Indigofera spicata","SGP",FALSE
"Isatis aptera","ESP",FALSE
"Justicia congestiflora","SYC",FALSE
"Kickxia elatine","SWE",FALSE
"Koeleria macrantha","SWE",FALSE
"Koeleria pyramidata","SWE",FALSE
"Lamium confertum","GBR",FALSE
"Lathyrus hirsutus","GBR",FALSE
"Lathyrus tuberosus","SWE",FALSE
"Lemna minuta","CHE",FALSE
"Lepidium latifolium","IRL",FALSE
"Logfia gallica","GBR",FALSE
"Lolium remotum","SWE",FALSE
"Lolium temulentum","IRL",FALSE
"Lolium temulentum","SWE",FALSE
"Lonicera xylosteum","GBR",FALSE
"Ludwigia peruviana","SGP",FALSE
"Lysimachia foemina","GBR",FALSE
"Lythrum hyssopifolia","GBR",FALSE
"Medicago soleirolii","FRA",FALSE
"Megathyrsus maximus","IND",FALSE
"Mentha suaveolens","SWE",FALSE
"Meum athamanticum","NOR",FALSE
"Milium vernale","SWE",FALSE
"Misopates orontium","IRL",FALSE
"Nekemias arborea","CUB",FALSE
"Nepeta cataria","GBR",FALSE
"Nepeta cataria","SWE",FALSE
"Nonea lutea","CHE",FALSE
"Nonea versicolor","SWE",FALSE
"Onobrychis viciifolia","SWE",FALSE
"Oxybasis glauca","GBR",FALSE
"Parietaria officinalis","SWE",FALSE
"Peucedanum ostruthium","GBR",FALSE
"Phyllanthus reticulatus","EGY",FALSE
"Phyteuma nigrum","SWE",FALSE
"Pilea microphylla","IND",FALSE
"Portulaca pilosa","IND",FALSE
"Prunella laciniata","SWE",FALSE
"Psammophiliella muralis","SWE",FALSE
"Psidium guineense","CUB",FALSE
"Pteris multifida","CUB",FALSE
"Rubia tinctorum","NLD",FALSE
"Sagina apetala","SWE",FALSE
"Sagittaria latifolia","DEU",FALSE
"Salvia pratensis","SWE",FALSE
"Salvia verticillata","NLD",FALSE
"Salvia verticillata","SWE",FALSE
"Scandix pecten-veneris","GBR",FALSE
"Silene dichotoma","SWE",FALSE
"Silene gallica","GBR",FALSE
"Silene noctiflora","GBR",FALSE
"Silene noctiflora","NOR",FALSE
"Sisyrinchium montanum","CHE",FALSE
"Sisyrinchium montanum","SWE",FALSE
"Tanacetum cinerariifolium","CHE",FALSE
"Torilis arvensis","GBR",FALSE
"Turnera ulmifolia","IND",FALSE
"Typha laxmannii","SVN",FALSE
"Ulex europaeus","NOR",FALSE
"Vaccinium macrocarpon","CHE",FALSE
"Valeriana dentata","GBR",FALSE
"Valeriana dentata","IRL",FALSE
"Valeriana rimosa","GBR",FALSE
"Valeriana rimosa","IRL",FALSE
"Verbascum lychnitis","SWE",FALSE
"Veronica triphyllos","GBR",FALSE
"Vicia villosa","SWE",FALSE
"Viola alba","SWE",FALSE
"Xanthium spinosum","CHE",FALSE
"Xanthium strumarium","JPN",FALSE
"Adenostemma mauritianum","REU",NA
"Aeschynomene brevifolia","REU",NA
"Alysicarpus bupleurifolius","REU",NA
"Alysicarpus vaginalis","REU",NA
"Clitoria heterophylla","REU",NA
"Cyperus articulatus","REU",NA
"Glinus oppositifolius","REU",NA
"Najas madagascariensis","REU",NA
"Pleurolobus salicifolius","REU",NA
"Sida cordifolia","REU",NA
"Stictocardia tiliifolia","REU",NA
"Tephrosia pumila","REU",NA
"Typhonodorum lindleyanum","REU",NA
"Zaleya pentandra","REU",NA
